n_arm,σ_obs,switch_cost,sample_cost,prior_bias,prop_seen,rt,mean_fixation_duration,best_seen_chosen,last_seen_chosen,n_refix,id
25,0.765625,0.00734375,0.00029427271762092817,-0.5,0.5675040000000001,3457.59,167.52643582311543,0.8092,0.6344,5.3844,16
9,1.1156249999999999,0.00984375,0.0009305720409296995,-0.5,0.7808777777777779,3231.67,272.80124030959536,0.792,0.7105,3.9622,17
16,1.1156249999999999,0.00984375,0.0009305720409296995,-0.5,0.6299,3707.55,245.52512818388442,0.7572,0.7602,4.2906,17
25,1.1156249999999999,0.00984375,0.0009305720409296995,-0.5,0.518636,4137.4,215.38280672593154,0.752,0.7537,5.2152,17
9,1.290625,0.00609375,0.00016548170999431823,-0.5,0.8534333333333336,3864.8,219.0604781925454,0.7616,0.6514,8.7375,18
16,1.290625,0.00609375,0.00016548170999431823,-0.5,0.70394375,4306.43,198.94135748420211,0.7268,0.6789,9.0273,18
25,1.290625,0.00609375,0.00016548170999431823,-0.5,0.596248,5467.41,202.6621090008998,0.7221,0.6639,10.4445,18
9,0.9406249999999999,0.00859375,0.0005232991146814948,-0.5,0.8246000000000002,3184.99,229.40147543060073,0.82,0.6392,5.2317,19
16,0.9406249999999999,0.00859375,0.0005232991146814948,-0.5,0.66515625,3445.73,208.95814921031757,0.7848,0.6945,4.9474,19
25,0.9406249999999999,0.00859375,0.0005232991146814948,-0.5,0.5814440000000001,4447.24,202.9551724230519,0.7958,0.6961,6.2131,19
9,1.028125,0.00546875,0.0006978305848598664,-0.5,0.8359333333333335,2850.4,182.45161454419252,0.7942,0.6314,7.0566,20
16,1.028125,0.00546875,0.0006978305848598664,-0.5,0.7067625,3606.93,176.06117545203796,0.7703,0.6439,7.9006,20
25,1.028125,0.00546875,0.0006978305848598664,-0.5,0.594276,4461.19,177.39332236965805,0.7723,0.6508,8.9068,20
9,1.3781249999999998,0.00796875,0.00022067340690845924,-0.5,0.8237555555555558,3983.03,267.2871090886903,0.7555,0.6878,6.5295,21
16,1.3781249999999998,0.00796875,0.00022067340690845924,-0.5,0.70640625,4881.08,238.18017752161785,0.72,0.715,7.9777,21
25,1.3781249999999998,0.00796875,0.00022067340690845924,-0.5,0.587368,5766.13,230.29587497960696,0.716,0.7067,8.9116,21
9,1.203125,0.00671875,0.0003924189758484538,-0.5,0.8211888888888891,3255.15,218.81150977910926,0.7636,0.6807,6.5091,22
16,1.203125,0.00671875,0.0003924189758484538,-0.5,0.70905,4256.23,206.48508060107176,0.7407,0.696,8.0226,22
25,1.203125,0.00671875,0.0003924189758484538,-0.5,0.59014,5111.71,202.15220387826386,0.7332,0.6842,9.0263,22
9,0.8531249999999999,0.009218750000000001,0.00012409377607517196,-0.5,0.802366666666667,3276.4,261.60210786208995,0.8419,0.639,4.3135,23
16,0.8531249999999999,0.009218750000000001,0.00012409377607517196,-0.5,0.66588125,3385.94,210.9848040312505,0.8031,0.677,4.4918,23
25,0.8531249999999999,0.009218750000000001,0.00012409377607517196,-0.5,0.550852,3812.67,192.28729003139426,0.7982,0.7084,5.0014,23
9,0.809375,0.00578125,0.000339820832894256,-0.5,0.8239666666666667,2178.58,160.33593441589161,0.8113,0.6113,5.1462,24
16,0.809375,0.00578125,0.000339820832894256,-0.5,0.71638125,3158.05,164.43581442815503,0.8046,0.5885,6.564,24
25,0.809375,0.00578125,0.000339820832894256,-0.5,0.602728,3853.64,163.79489602798205,0.8057,0.6117,7.2161,24
9,1.1593749999999998,0.00828125,0.00010746078283213182,-0.5,0.8297222222222226,3735.29,251.12931880079898,0.7853,0.6555,6.1873,25
16,1.1593749999999998,0.00828125,0.00010746078283213182,-0.5,0.69529375,4259.09,227.36662672208715,0.7496,0.6936,6.5494,25
25,1.1593749999999998,0.00828125,0.00010746078283213182,-0.5,0.5874400000000001,5305.53,219.75451692716908,0.7552,0.675,7.9851,25
9,1.3343749999999999,0.00703125,0.0006042963902381332,-0.5,0.8086444444444447,3270.46,230.90133441205333,0.7358,0.7106,6.072,26
16,1.3343749999999999,0.00703125,0.0006042963902381332,-0.5,0.70478125,4559.59,216.07123767219102,0.7354,0.6864,8.479,26
25,1.3343749999999999,0.00703125,0.0006042963902381332,-0.5,0.56798,5147.27,209.46563450413694,0.7159,0.7123,8.9194,26
9,0.984375,0.00953125,0.00019109529749704405,-0.5,0.7782444444444447,3157.17,268.666165120005,0.8087,0.6822,3.9056,27
16,0.984375,0.00953125,0.00019109529749704405,-0.5,0.631375,3428.88,229.40734001430917,0.7816,0.7259,4.1128,27
25,0.984375,0.00953125,0.00019109529749704405,-0.5,0.5570279999999999,4446.7,215.33697539272487,0.7885,0.7178,5.5641,27
9,0.896875,0.0064062500000000005,0.00014330125702369644,-0.5,0.8233111111111113,2449.29,176.48175453944745,0.7975,0.6353,5.4207,28
16,0.896875,0.0064062500000000005,0.00014330125702369644,-0.5,0.7063875,3340.9,174.12249028251927,0.7872,0.6104,6.607,28
25,0.896875,0.0064062500000000005,0.00014330125702369644,-0.5,0.619828,4570.41,181.16074557104724,0.7848,0.5964,8.2297,28
9,1.246875,0.008906250000000001,0.0004531583637600818,-0.5,0.8007888888888891,3606.23,272.4760484073183,0.7681,0.6929,5.0903,29
16,1.246875,0.008906250000000001,0.0004531583637600818,-0.5,0.66503125,4214.18,243.787284539276,0.7408,0.7333,5.6597,29
25,1.246875,0.008906250000000001,0.0004531583637600818,-0.5,0.549744,4901.67,222.9320757506649,0.7357,0.7231,6.9262,29
9,1.071875,0.00515625,0.0002548296747979348,-0.5,0.8541222222222224,3176.88,181.66852286970234,0.7859,0.6164,8.4697,30
16,1.071875,0.00515625,0.0002548296747979348,-0.5,0.7328,4145.26,180.51404091747747,0.766,0.6096,9.6891,30
25,1.071875,0.00515625,0.0002548296747979348,-0.5,0.625904,5079.05,181.50788210754123,0.7652,0.6403,10.7066,30
9,0.7218749999999999,0.00765625,0.000805842187761482,-0.5,0.7854555555555557,1752.54,156.88536073815496,0.8198,0.631,3.3619,31
16,0.7218749999999999,0.00765625,0.000805842187761482,-0.5,0.66405,2549.3,162.2116720414997,0.8256,0.6237,4.1822,31
25,0.7218749999999999,0.00765625,0.000805842187761482,-0.5,0.558832,3304.0,166.4544892208865,0.8204,0.6653,4.8967,31
9,0.7328125,0.006328125,0.0005048065716667473,-0.5,0.8525888888888891,2463.02,169.23416373527382,0.8435,0.5562,5.6183,32
16,0.7328125,0.006328125,0.0005048065716667473,-0.5,0.69728125,2731.42,157.62503918008548,0.822,0.5889,5.1813,32
25,0.7328125,0.006328125,0.0005048065716667473,-0.5,0.6176320000000001,3865.36,163.75727743102718,0.8178,0.5464,6.8299,32
9,1.0828125,0.008828125,0.00015963385442879435,-0.5,0.8068333333333336,3207.05,242.7530414489153,0.7962,0.6843,4.9416,33
16,1.0828125,0.008828125,0.00015963385442879435,-0.5,0.6826125,4009.95,223.4889788492485,0.7692,0.6954,5.9094,33
25,1.0828125,0.008828125,0.00015963385442879435,-0.5,0.571508,4832.44,216.01646200532252,0.7663,0.693,6.7426,33
9,1.2578125,0.005078125,0.0008976871324473148,-0.5,0.841566666666667,3299.74,193.032238488733,0.7497,0.6607,8.5188,34
16,1.2578125,0.005078125,0.0008976871324473148,-0.5,0.70630625,4069.34,183.81771449102496,0.7252,0.6638,9.5234,34
25,1.2578125,0.005078125,0.0008976871324473148,-0.5,0.5958120000000001,5166.73,187.92538041844685,0.7266,0.6623,10.9689,34
9,0.9078124999999999,0.007578125,0.0002838735964758755,-0.5,0.7855333333333335,2149.23,180.21835908427184,0.799,0.6742,4.0276,35
16,0.9078124999999999,0.007578125,0.0002838735964758755,-0.5,0.69313125,3442.58,192.17816546439116,0.794,0.6625,5.7931,35
25,0.9078124999999999,0.007578125,0.0002838735964758755,-0.5,0.608128,4599.17,191.28235291820363,0.7973,0.6333,7.4151,35
9,0.9953124999999999,0.005703125,0.00011970850304957301,-0.5,0.8523333333333336,3141.85,189.02268943478364,0.8054,0.6133,7.6145,36
16,0.9953124999999999,0.005703125,0.00011970850304957301,-0.5,0.7241,3778.94,180.62344853840946,0.7775,0.6435,8.1025,36
25,0.9953124999999999,0.005703125,0.00011970850304957301,-0.5,0.62262,4884.24,182.38108347511633,0.775,0.6341,9.6372,36
9,1.3453125,0.008203125,0.0003785515249258633,-0.5,0.794677777777778,3267.82,246.79450564562535,0.7425,0.7233,5.2439,37
16,1.3453125,0.008203125,0.0003785515249258633,-0.5,0.70214375,4853.04,246.422277284027,0.716,0.7199,7.4325,37
25,1.3453125,0.008203125,0.0003785515249258633,-0.5,0.5605760000000001,5188.72,224.26367150107714,0.724,0.7302,7.8099,37
9,1.1703124999999999,0.006953125,0.00021287516617963755,-0.5,0.8239111111111113,3236.65,215.72702071271786,0.7741,0.6795,6.4628,38
16,1.1703124999999999,0.006953125,0.00021287516617963755,-0.5,0.7157375,4346.27,206.99451581964544,0.7588,0.6636,8.2096,38
25,1.1703124999999999,0.006953125,0.00021287516617963755,-0.5,0.5834280000000001,4952.34,200.3896019969772,0.7468,0.6844,8.6139,38
9,0.8203125,0.009453125,0.0006731703824144984,-0.5,0.7513222222222224,2237.82,217.8204181983427,0.8131,0.6977,2.8281,39
16,0.8203125,0.009453125,0.0006731703824144984,-0.5,0.6321,3001.93,206.61965732308374,0.8069,0.7184,3.6754,39
25,0.8203125,0.009453125,0.0006731703824144984,-0.5,0.518224,3363.62,186.6860306595149,0.8022,0.726,4.1328,39
9,0.8640625,0.0053906250000000005,0.00018434229924091107,-0.5,0.8381555555555559,2504.39,169.27372147501148,0.8115,0.6132,6.1602,40
16,0.8640625,0.0053906250000000005,0.00018434229924091107,-0.5,0.71294375,3314.32,165.0260884702717,0.7979,0.5731,7.2736,40
25,0.8640625,0.0053906250000000005,0.00018434229924091107,-0.5,0.613316,4284.61,168.80500543981705,0.7998,0.5824,8.525,40
9,1.2140624999999998,0.007890625,0.0005829415347136078,-0.5,0.8050666666666669,3268.04,237.7619470764528,0.7636,0.6951,5.5498,41
16,1.2140624999999998,0.007890625,0.0005829415347136078,-0.5,0.6853125,4133.92,221.7194549535567,0.7436,0.7147,6.6102,41
25,1.2140624999999998,0.007890625,0.0005829415347136078,-0.5,0.562632,4838.99,211.1972755685934,0.7395,0.7118,7.4423,41
9,1.3890624999999999,0.006640625,0.00010366329284376988,-0.5,0.8506111111111113,4034.01,233.6335238785157,0.7474,0.6664,8.3726,42
16,1.3890624999999999,0.006640625,0.00010366329284376988,-0.5,0.7291375,5166.69,220.2411578240869,0.7144,0.6597,10.2266,42
25,1.3890624999999999,0.006640625,0.00010366329284376988,-0.5,0.621312,6264.21,220.27915295099532,0.7164,0.6867,11.2556,42
9,1.0390625,0.009140625,0.00032781211513934627,-0.5,0.7762111111111113,3247.55,269.5124992860036,0.811,0.6965,4.1954,43
16,1.0390625,0.009140625,0.00032781211513934627,-0.5,0.67956875,4077.04,235.94637602770158,0.7853,0.6993,5.4477,43
25,1.0390625,0.009140625,0.00032781211513934627,-0.5,0.543644,4237.44,209.82484201246737,0.7747,0.7389,5.5343,43
9,0.9515624999999999,0.0072656249999999995,0.0007773650302387761,-0.5,0.8144222222222224,2534.98,189.76389366077285,0.7978,0.6596,5.0097,44
16,0.9515624999999999,0.0072656249999999995,0.0007773650302387761,-0.5,0.65048125,2995.85,186.31974388860706,0.7745,0.7056,4.9563,44
25,0.9515624999999999,0.0072656249999999995,0.0007773650302387761,-0.5,0.5565720000000001,3858.92,181.48203900801792,0.7789,0.6853,6.2671,44
9,1.3015625,0.009765625,0.0002458244068920199,-0.5,0.7881000000000001,3940.53,313.01912097659437,0.7736,0.7152,4.6293,45
16,1.3015625,0.009765625,0.0002458244068920199,-0.5,0.6623875,4586.16,270.7879379608874,0.7401,0.7508,5.4454,45
25,1.3015625,0.009765625,0.0002458244068920199,-0.5,0.5521280000000001,5438.96,255.2970218962483,0.7391,0.7656,6.355,45
9,1.1265625,0.006015625,0.000437144481261109,-0.5,0.8487444444444445,3339.44,200.79914199207278,0.782,0.646,7.7866,46
16,1.1265625,0.006015625,0.000437144481261109,-0.5,0.70606875,3976.71,188.0968850948797,0.7546,0.6464,8.4362,46
25,1.1265625,0.006015625,0.000437144481261109,-0.5,0.597176,4873.53,189.67157893304517,0.7519,0.6722,9.3233,46
9,0.7765624999999999,0.008515625,0.00013823722273579014,-0.5,0.8363777777777781,2836.55,208.1573172023737,0.8458,0.5968,4.8128,47
16,0.7765624999999999,0.008515625,0.00013823722273579014,-0.5,0.68563125,3115.76,186.16384550263274,0.8153,0.6333,4.7458,47
25,0.7765624999999999,0.008515625,0.00013823722273579014,-0.5,0.6056040000000001,4249.94,188.95783099246347,0.8236,0.6229,6.1209,47
9,0.7546875,0.006171875,0.0006264335366568858,-0.5,0.819688888888889,2067.2,159.3669925812247,0.8189,0.608,4.619,48
16,0.7546875,0.006171875,0.0006264335366568858,-0.5,0.66956875,2622.79,156.8221666176748,0.8145,0.6147,5.0256,48
25,0.7546875,0.006171875,0.0006264335366568858,-0.5,0.581024,3450.02,159.46636085801907,0.8108,0.6119,5.9645,48
9,1.1046874999999998,0.008671875,0.0001980956778550342,-0.5,0.8039333333333335,3363.26,255.30546149888187,0.7886,0.6829,4.9674,49
16,1.1046874999999998,0.008671875,0.0001980956778550342,-0.5,0.685975,4186.25,228.20184341268921,0.7655,0.6823,6.2205,49
25,1.1046874999999998,0.008671875,0.0001980956778550342,-0.5,0.572152,4905.59,218.64510985202696,0.7577,0.7215,6.8025,49
9,1.2796874999999999,0.007421875,0.0003522694651473105,-0.5,0.8380888888888892,3716.43,232.57115816506698,0.766,0.6596,7.1912,50
16,1.2796874999999999,0.007421875,0.0003522694651473105,-0.5,0.70391875,4472.5,217.00065543459178,0.7352,0.6766,7.9898,50
25,1.2796874999999999,0.007421875,0.0003522694651473105,-0.5,0.5804239999999999,5225.35,216.80847545179915,0.7261,0.7384,8.3564,50
9,0.9296875,0.009921875,0.0001113973859994803,-0.5,0.7526111111111113,3066.29,284.42901693398744,0.8189,0.6971,3.2557,51
16,0.9296875,0.009921875,0.0001113973859994803,-0.5,0.68865625,4113.92,239.257699524228,0.8072,0.6657,5.0965,51
25,0.9296875,0.009921875,0.0001113973859994803,-0.5,0.5560000000000002,4375.72,217.1937239947564,0.7862,0.7142,5.1606,51
9,1.0171875,0.006796875,0.00026416483203860934,-0.5,0.8386222222222225,3088.61,202.03976079914983,0.8007,0.6322,6.497,52
16,1.0171875,0.006796875,0.00026416483203860934,-0.5,0.6763,3358.17,186.11915266728698,0.7582,0.6831,6.2095,52
25,1.0171875,0.006796875,0.00026416483203860934,-0.5,0.5846560000000001,4395.54,189.37132747173052,0.759,0.7072,7.4907,52
9,1.3671875,0.009296875,0.0008353625469578262,-0.5,0.7895000000000002,3784.97,297.3508242422671,0.745,0.7293,4.8003,53
16,1.3671875,0.009296875,0.0008353625469578262,-0.5,0.6379875,4016.68,249.4691798418584,0.7168,0.7676,5.0623,53
25,1.3671875,0.009296875,0.0008353625469578262,-0.5,0.536748,5005.86,236.28463271170259,0.7136,0.765,6.6084,53
9,1.1921875,0.005546875,0.00014855080171727767,-0.5,0.8539444444444447,3488.17,198.46944092314138,0.7595,0.6375,8.6255,54
16,1.1921875,0.005546875,0.00014855080171727767,-0.5,0.7400625,4666.71,192.94257744991287,0.7522,0.6176,10.5927,54
25,1.1921875,0.005546875,0.00014855080171727767,-0.5,0.6224120000000001,5549.32,194.1011932025416,0.7369,0.6391,11.261,54
9,0.8421875,0.008046875,0.0004697588816706495,-0.5,0.7761000000000002,2292.3,202.44642359867507,0.8177,0.6766,3.5919,55
16,0.8421875,0.008046875,0.0004697588816706495,-0.5,0.67636875,3137.9,189.33836968873172,0.7967,0.6743,4.8615,55
25,0.8421875,0.008046875,0.0004697588816706495,-0.5,0.5533,3695.72,179.66820465655323,0.807,0.6619,5.5419,55
9,0.7984374999999999,0.007109375,0.00017154378963428796,-0.5,0.8324222222222224,2505.29,181.78864302280485,0.8284,0.6029,5.131,56
16,0.7984374999999999,0.007109375,0.00017154378963428796,-0.5,0.7035125,3153.38,173.4142271004626,0.8112,0.6019,5.7174,56
25,0.7984374999999999,0.007109375,0.00017154378963428796,-0.5,0.5861,3771.87,172.44596685328415,0.8081,0.6475,6.0322,56
9,1.1484375,0.009609375,0.0005424690937011326,-0.5,0.7719444444444447,3150.08,269.5007171888979,0.782,0.7118,3.9295,57
16,1.1484375,0.009609375,0.0005424690937011326,-0.5,0.64779375,4024.07,250.16034554529324,0.7609,0.7401,4.8669,57
25,1.1484375,0.009609375,0.0005424690937011326,-0.5,0.533352,4571.82,230.85236564419532,0.7557,0.7651,5.4555,57
9,1.3234374999999998,0.005859375,0.00030505278902670253,-0.5,0.8546333333333336,3879.07,211.44084806489172,0.756,0.6447,9.2607,58
16,1.3234374999999998,0.005859375,0.00030505278902670253,-0.5,0.73275,4776.25,204.94402366909856,0.7232,0.6733,10.2045,58
25,1.3234374999999998,0.005859375,0.00030505278902670253,-0.5,0.624244,5977.41,205.02155616871062,0.7235,0.6524,11.8311,58
9,0.9734375,0.008359375,0.0009646616199111995,-0.5,0.7788222222222224,2464.08,212.13500505931532,0.7847,0.6958,3.8485,59
16,0.9734375,0.008359375,0.0009646616199111995,-0.5,0.62824375,2984.96,199.1058669907564,0.7781,0.7296,4.2255,59
25,0.9734375,0.008359375,0.0009646616199111995,-0.5,0.548192,4013.24,196.2429201635901,0.777,0.7189,5.702,59
9,0.8859374999999999,0.005234375,0.0004067944321083049,-0.5,0.8159444444444447,2407.91,170.25864225617357,0.7972,0.6421,5.9493,60
16,0.8859374999999999,0.005234375,0.0004067944321083049,-0.5,0.7188125,3464.66,166.93706092454107,0.8024,0.5701,7.8379,60
25,0.8859374999999999,0.005234375,0.0004067944321083049,-0.5,0.612588,4215.29,167.67768655179194,0.7925,0.6417,8.4735,60
9,1.2359375,0.007734375,0.00012863969449369766,-0.5,0.8231666666666668,3611.07,243.70442867240166,0.7682,0.6696,6.3138,61
16,1.2359375,0.007734375,0.00012863969449369766,-0.5,0.72143125,4853.87,229.53342497351812,0.7431,0.6675,8.2514,61
25,1.2359375,0.007734375,0.00012863969449369766,-0.5,0.580888,5238.12,214.9769835973774,0.7427,0.6675,8.4,61
9,1.0609374999999999,0.0064843750000000006,0.0007233941627366746,-0.5,0.8175111111111112,2850.74,198.305336803581,0.7783,0.6575,6.0292,62
16,1.0609374999999999,0.0064843750000000006,0.0007233941627366746,-0.5,0.7127,3885.43,188.55537631515367,0.7645,0.6297,7.8127,62
25,1.0609374999999999,0.0064843750000000006,0.0007233941627366746,-0.5,0.5699559999999999,4259.57,186.67006486893212,0.7611,0.7235,7.4663,62
9,0.7109375,0.008984375,0.0002287573200318398,-0.5,0.7690666666666669,2140.13,201.38746050815143,0.8418,0.649,2.9869,63
16,0.7109375,0.008984375,0.0002287573200318398,-0.5,0.65989375,2927.01,192.58328699250623,0.8317,0.6617,3.8531,63
25,0.7109375,0.008984375,0.0002287573200318398,-0.5,0.5548960000000001,3301.45,173.51430714611226,0.8253,0.6749,4.2592,63
9,0.7164062499999999,0.0069921875,0.0006611690262414817,-0.5,0.8291777777777781,2333.58,174.93700817324344,0.8475,0.5945,4.7147,64
16,0.7164062499999999,0.0069921875,0.0006611690262414817,-0.5,0.6725875,2568.77,160.86785150460884,0.8192,0.6454,4.3484,64
25,0.7164062499999999,0.0069921875,0.0006611690262414817,-0.5,0.5641,3247.41,160.28875095362227,0.823,0.648,5.1279,64
9,1.06640625,0.0094921875,0.00020908000412787192,-0.5,0.7886666666666668,3433.45,282.7754906075995,0.7982,0.6982,4.1706,65
16,1.06640625,0.0094921875,0.00020908000412787192,-0.5,0.67575625,4054.0,234.63891589271407,0.7744,0.6955,5.4282,65
25,1.06640625,0.0094921875,0.00020908000412787192,-0.5,0.5614319999999999,4655.89,219.15462344973315,0.7732,0.7058,6.0358,65
9,1.2414062499999998,0.0057421875,0.00037180266639144774,-0.5,0.8426444444444448,3441.27,203.0095778152091,0.756,0.656,8.1711,66
16,1.2414062499999998,0.0057421875,0.00037180266639144774,-0.5,0.72619375,4436.95,196.95303707125484,0.7404,0.6743,9.5357,66
25,1.2414062499999998,0.0057421875,0.00037180266639144774,-0.5,0.576572,4827.96,191.11918873138538,0.7346,0.6954,9.4495,66
9,0.89140625,0.008242187500000001,0.00011757432659207123,-0.5,0.8122777777777779,2728.46,208.5595249885504,0.8146,0.6367,4.7277,67
16,0.89140625,0.008242187500000001,0.00011757432659207123,-0.5,0.6910875,3525.34,200.5342590691174,0.7947,0.6591,5.4623,67
25,0.89140625,0.008242187500000001,0.00011757432659207123,-0.5,0.577204,4191.7,192.95631339184325,0.7961,0.6715,6.1019,67
9,0.9789062499999999,0.0051171875,0.00027881266654131365,-0.5,0.8618666666666668,3160.75,179.45819914332688,0.801,0.5857,8.5155,68
16,0.9789062499999999,0.0051171875,0.00027881266654131365,-0.5,0.72395625,3748.54,172.16296461519542,0.7818,0.5869,8.6813,68
25,0.9789062499999999,0.0051171875,0.00027881266654131365,-0.5,0.6126159999999999,4607.47,174.18073987209934,0.7717,0.6054,9.5693,68
9,1.32890625,0.007617187500000001,0.0008816830667755708,-0.5,0.8054888888888891,3387.55,246.33241682070616,0.7384,0.7129,5.7081,69
16,1.32890625,0.007617187500000001,0.0008816830667755708,-0.5,0.66110625,3878.43,218.39936797005873,0.7252,0.7524,6.3223,69
