n_arm,σ_obs,switch_cost,sample_cost,prior_bias,prop_seen,rt,mean_fixation_duration,best_seen_chosen,last_seen_chosen,n_refix,id
9,1.0499999999999998,0.0075,0.0003162277660168384,-0.5,0.8175444444444447,3078.05,221.6571363772004,0.7907,0.6579,5.5436,1
16,1.0499999999999998,0.0075,0.0003162277660168384,-0.5,0.692725,3782.69,204.06461155854473,0.7722,0.6858,6.4032,1
25,1.0499999999999998,0.0075,0.0003162277660168384,-0.5,0.5696040000000001,4456.27,196.57898479218946,0.7684,0.7062,7.1342,1
9,1.2249999999999999,0.00625,0.00017782794100389232,-0.5,0.8480777777777782,3619.49,212.6843823833648,0.7741,0.6456,8.0867,2
16,1.2249999999999999,0.00625,0.00017782794100389232,-0.5,0.7252375,4567.51,200.08268226156332,0.7491,0.6423,9.6005,2
25,1.2249999999999999,0.00625,0.00017782794100389232,-0.5,0.613808,5520.2,201.91023932654122,0.7331,0.6603,10.4105,2
9,0.875,0.00875,0.0005623413251903495,-0.5,0.7834444444444447,2422.14,208.90254611196698,0.8052,0.6824,3.7082,3
16,0.875,0.00875,0.0005623413251903495,-0.5,0.66985625,3427.31,209.147136982351,0.8045,0.682,4.7722,3
25,0.875,0.00875,0.0005623413251903495,-0.5,0.5373880000000001,3721.82,192.0965280629752,0.7937,0.725,4.9344,3
9,0.9624999999999999,0.006875,0.00042169650342858235,-0.5,0.8128222222222224,2525.92,185.90562002659897,0.7984,0.6505,5.2844,4
16,0.9624999999999999,0.006875,0.00042169650342858235,-0.5,0.70239375,3613.99,186.89422028173198,0.7837,0.6366,6.8284,4
25,0.9624999999999999,0.006875,0.00042169650342858235,-0.5,0.58208,4262.11,183.72839429756706,0.776,0.6481,7.2711,4
9,1.3125,0.009375000000000001,0.0001333521432163326,-0.5,0.8085222222222225,4187.09,309.7667603015946,0.7688,0.7081,5.274,5
16,1.3125,0.009375000000000001,0.0001333521432163326,-0.5,0.68118125,4926.23,271.4576275568909,0.7468,0.7183,6.2747,5
25,1.3125,0.009375000000000001,0.0001333521432163326,-0.5,0.561924,5395.41,245.78149677983458,0.7317,0.7555,6.7545,5
9,1.1375,0.005625,0.0007498942093324562,-0.5,0.8288666666666668,2900.31,186.14979178094936,0.7654,0.658,7.0232,6
16,1.1375,0.005625,0.0007498942093324562,-0.5,0.68979375,3731.78,179.3888648655064,0.7509,0.6158,8.3418,6
25,1.1375,0.005625,0.0007498942093324562,-0.5,0.5845279999999999,4666.68,184.9593710507817,0.7422,0.6697,9.1488,6
9,0.7875,0.008125,0.00023713737056616573,-0.5,0.7879333333333336,2512.57,213.02802490315773,0.8239,0.6493,3.8817,7
16,0.7875,0.008125,0.00023713737056616573,-0.5,0.68345,3175.86,190.23972521413057,0.817,0.6551,4.8476,7
25,0.7875,0.008125,0.00023713737056616573,-0.5,0.562132,3570.99,174.44014162703104,0.8151,0.6295,5.2511,7
9,0.8312499999999999,0.006562500000000001,0.000865964323360066,-0.5,0.8201444444444447,2399.8,179.88471387249547,0.8169,0.6299,5.0103,8
16,0.8312499999999999,0.006562500000000001,0.000865964323360066,-0.5,0.6821625,2891.78,168.02928657484924,0.7978,0.6575,5.3112,8
25,0.8312499999999999,0.006562500000000001,0.000865964323360066,-0.5,0.5704560000000001,3628.61,168.28442046168186,0.7933,0.6534,6.1743,8
9,1.18125,0.009062500000000001,0.0002738419634264362,-0.5,0.8001777777777781,3563.39,272.81602501737717,0.7827,0.689,4.9278,9
16,1.18125,0.009062500000000001,0.0002738419634264362,-0.5,0.6746375,4244.06,242.79730374633093,0.7568,0.7192,5.7543,9
25,1.18125,0.009062500000000001,0.0002738419634264362,-0.5,0.5629320000000001,4956.49,224.39697439715763,0.7537,0.7244,6.7132,9
9,1.35625,0.0053125,0.00048696752516586337,-0.5,0.8563444444444447,3794.94,203.3294798557269,0.7494,0.6474,9.6728,10
16,1.35625,0.0053125,0.00048696752516586337,-0.5,0.72548125,4738.45,195.5234694478667,0.7141,0.6457,11.0245,10
25,1.35625,0.0053125,0.00048696752516586337,-0.5,0.6261479999999999,6069.28,201.28447019711817,0.7147,0.6603,12.7075,10
9,1.0062499999999999,0.0078125,0.00015399265260594933,-0.5,0.8171333333333336,2985.97,216.99857517889492,0.795,0.6597,5.3594,11
16,1.0062499999999999,0.0078125,0.00015399265260594933,-0.5,0.6985,3877.82,209.77628632397722,0.782,0.6809,6.2973,11
25,1.0062499999999999,0.0078125,0.00015399265260594933,-0.5,0.5840719999999999,4640.97,199.4205471983338,0.7793,0.6687,7.2525,11
9,0.91875,0.0059375,0.0002053525026457149,-0.5,0.8543222222222223,2925.65,180.22838737861602,0.8076,0.5889,7.1028,12
16,0.91875,0.0059375,0.0002053525026457149,-0.5,0.70130625,3364.68,171.23321198122287,0.7863,0.5909,7.0851,12
25,0.91875,0.0059375,0.0002053525026457149,-0.5,0.599828,4319.65,175.4576261164831,0.7913,0.6286,8.197,12
9,1.2687499999999998,0.0084375,0.0006493816315762115,-0.5,0.7981555555555558,3455.59,259.91968672984626,0.7623,0.7006,5.218,13
16,1.2687499999999998,0.0084375,0.0006493816315762115,-0.5,0.66185,4058.25,234.08716377989398,0.7298,0.7373,5.8639,13
25,1.2687499999999998,0.0084375,0.0006493816315762115,-0.5,0.541316,4639.99,221.8870046408133,0.7259,0.7785,6.3571,13
9,1.09375,0.0071875,0.00011547819846894585,-0.5,0.8238222222222225,3227.11,222.31391470304663,0.7849,0.6629,6.1008,14
16,1.09375,0.0071875,0.00011547819846894585,-0.5,0.707275,4011.48,204.4205376728256,0.752,0.6792,7.1715,14
25,1.09375,0.0071875,0.00011547819846894585,-0.5,0.5867,4794.85,198.36944221707608,0.7669,0.6644,8.0486,14
9,0.7437499999999999,0.0096875,0.000365174127254838,-0.5,0.7820888888888891,2240.55,204.93769152811322,0.8371,0.6572,3.0842,15
16,0.7437499999999999,0.0096875,0.000365174127254838,-0.5,0.62230625,2754.71,199.17825386695702,0.8246,0.7122,3.1747,15
25,0.7437499999999999,0.0096875,0.000365174127254838,-0.5,0.5491880000000001,3552.43,186.0477175988247,0.8215,0.6847,4.3365,15
9,0.765625,0.00734375,0.00029427271762092817,-0.5,0.8213000000000001,2273.71,173.25422417912262,0.8337,0.6055,4.6345,16
16,0.765625,0.00734375,0.00029427271762092817,-0.5,0.69685625,2965.12,170.62487385214914,0.8176,0.6044,5.1423,16
