     ,subject,trial,fix_num,event_duration,leftrating,rightrating,rt     ,choice,roi,computed_rt,num_fixations,rev_fix_num,temp     ,corr_fix_duration
1518 ,17.0   ,45   ,1.0    ,319.0         ,6.0       ,2.0        ,1286.0 ,1.0   ,1.0,1295.0     ,2.0          ,2.0        ,373.38   ,319.0            
1519 ,17.0   ,45   ,2.0    ,638.0         ,6.0       ,2.0        ,1286.0 ,1.0   ,2.0,1295.0     ,2.0          ,1.0        ,545.48456,638.0            
1520 ,17.0   ,46   ,1.0    ,419.0         ,0.0       ,0.0        ,1399.0 ,1.0   ,1.0,1416.0     ,2.0          ,2.0        ,373.38   ,419.0            
1521 ,17.0   ,46   ,2.0    ,818.0         ,0.0       ,0.0        ,1399.0 ,1.0   ,2.0,1416.0     ,2.0          ,1.0        ,545.48456,818.0            
1522 ,17.0   ,47   ,1.0    ,499.0         ,6.0       ,1.0        ,1581.0 ,1.0   ,1.0,1592.0     ,2.0          ,2.0        ,373.38   ,499.0            
1523 ,17.0   ,47   ,2.0    ,877.0         ,6.0       ,1.0        ,1581.0 ,1.0   ,2.0,1592.0     ,2.0          ,1.0        ,545.48456,877.0            
1524 ,17.0   ,48   ,1.0    ,417.0         ,2.0       ,4.0        ,1062.0 ,1.0   ,1.0,1076.0     ,2.0          ,2.0        ,373.38   ,417.0            
1525 ,17.0   ,48   ,2.0    ,436.0         ,2.0       ,4.0        ,1062.0 ,1.0   ,2.0,1076.0     ,2.0          ,1.0        ,545.48456,436.0            
1526 ,17.0   ,49   ,1.0    ,717.0         ,1.0       ,2.0        ,1249.0 ,0.0   ,2.0,1255.0     ,1.0          ,1.0        ,373.38   ,717.0            
1527 ,17.0   ,50   ,1.0    ,239.0         ,2.0       ,4.0        ,1073.0 ,1.0   ,1.0,1075.0     ,3.0          ,3.0        ,373.38   ,239.0            
1528 ,17.0   ,50   ,2.0    ,544.0         ,2.0       ,4.0        ,1073.0 ,1.0   ,2.0,1075.0     ,3.0          ,2.0        ,545.48456,544.0            
1529 ,17.0   ,50   ,3.0    ,39.0          ,2.0       ,4.0        ,1073.0 ,1.0   ,1.0,1075.0     ,3.0          ,1.0        ,308.0    ,39.0             
